queue_id,company_id,report_id,inventory_year,reporting_entity_en,scope_en,energy_metric_en,energy_type_en,renewable_or_nonrenewable,purchased_electricity_flag,fuel_type,value,unit,source_basis_en,linked_emission_record_id,linked_factor_id,evidence_page,source_file,review_decision,reviewer_note,confidence_level
energy_00011,r011_volkswagen,,,VOLKSWAGEN,Scope 1,Fuel or site energy consumption,,,,,,,,r011_volkswagen_Scope 1_11,,66,2023_Volkswagen_Group_Sustainability_Report.pdf,,,
energy_00012,r011_volkswagen,,,VOLKSWAGEN,Scope 2,Purchased electricity,,,yes,,,,,r011_volkswagen_Scope 2_12,,66,2023_Volkswagen_Group_Sustainability_Report.pdf,,,
energy_00013,r013_shell,,,SHELL,Scope 1,Fuel or site energy consumption,,,,,,,,r013_shell_Scope 1_13,,109,shell-annual-report-2024.pdf,,,
energy_00014,r013_shell,,,SHELL,Scope 2,Purchased electricity,,,yes,,,,,r013_shell_Scope 2_14,,109,shell-annual-report-2024.pdf,,,
energy_00015,r013_shell,,,SHELL,Scope 2,Purchased electricity,,,yes,,,,,r013_shell_Scope 2_15,,109,shell-annual-report-2024.pdf,,,
energy_00016,r016_mckesson,,,MCKESSON,Scope 1,Fuel or site energy consumption,,,,,,,,r016_mckesson_Scope 1_16,,64,McKesson Impact Report 2024.pdf,,,
energy_00017,r016_mckesson,,,MCKESSON,Scope 2,Purchased electricity,,,yes,,,,,r016_mckesson_Scope 2_17,,69,McKesson Impact Report 2024.pdf,,,
energy_00018,r016_mckesson,,,MCKESSON,Scope 2,Purchased electricity,,,yes,,,,,r016_mckesson_Scope 2_18,,69,McKesson Impact Report 2024.pdf,,,
energy_00019,r017_alphabet公司,,,Alphabet,Scope 1,Fuel or site energy consumption,,,,,,,,r017_alphabet公司_Scope 1_19,,105,google-2025-environmental-report.pdf,,,
energy_00020,r017_alphabet公司,,,Alphabet,Scope 2,Purchased electricity,,,yes,,,,,r017_alphabet公司_Scope 2_20,,105,google-2025-environmental-report.pdf,,,
energy_00021,r021_jpmorganchase,,,JPMORGAN CHASE,Scope 1,Fuel or site energy consumption,,,,,,,,r021_jpmorganchase_Scope 1_21,,27,JPMORGAN CHASE-Climate-Report-2024.pdf,,,
energy_00022,r022_industrialandcommercialbankofchina,,,INDUSTRIAL & COMMERCIAL BANK OF CHINA,Scope 1,Fuel or site energy consumption,,,,,,,,r022_industrialandcommercialbankofchina_Scope 1_22,,45,ICBC_2024_Sustainability_Report.pdf,,,
energy_00023,r022_industrialandcommercialbankofchina,,,INDUSTRIAL & COMMERCIAL BANK OF CHINA,Scope 2,Purchased electricity,,,yes,,,,,r022_industrialandcommercialbankofchina_Scope 2_23,,45,ICBC_2024_Sustainability_Report.pdf,,,
energy_00024,r023_totalenergies,,,TOTALENERGIES,Scope 1,Fuel or site energy consumption,,,,,,,,r023_totalenergies_Scope 1_24,,106,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,,
energy_00025,r023_totalenergies,,,TOTALENERGIES,Scope 2,Purchased electricity,,,yes,,,,,r023_totalenergies_Scope 2_25,,106,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,,
energy_00026,r024_glencore,,,GLENCORE,Scope 1,Fuel or site energy consumption,,,,,,,,r024_glencore_Scope 1_26,,65,Glencore_2024_Sustainability_Report.pdf,,,
energy_00027,r024_glencore,,,GLENCORE,Scope 2,Purchased electricity,,,yes,,,,,r024_glencore_Scope 2_27,,65,Glencore_2024_Sustainability_Report.pdf,,,
energy_00028,r025_bp,,,BP,Scope 1,Fuel or site energy consumption,,,,,,,,r025_bp_Scope 1_28,,50,bp-sustainability-report-2024.pdf,,,
energy_00029,r025_bp,,,BP,Scope 1,Fuel or site energy consumption,,,,,,,,r025_bp_Scope 1_29,,50,bp-sustainability-report-2024.pdf,,,
energy_00030,r025_bp,,,BP,Scope 2,Purchased electricity,,,yes,,,,,r025_bp_Scope 2_30,,50,bp-sustainability-report-2024.pdf,,,
energy_00031,r025_bp,,,BP,Scope 2,Purchased electricity,,,yes,,,,,r025_bp_Scope 2_31,,50,bp-sustainability-report-2024.pdf,,,
energy_00032,r026_microsoft,,,MICROSOFT,Scope 1,Fuel or site energy consumption,,,,,,,,r026_microsoft_Scope 1_32,,13,2025-Microsoft-Environmental-Sustainability-Report-PDF.pdf,,,
energy_00033,r026_microsoft,,,MICROSOFT,Scope 2,Purchased electricity,,,yes,,,,,r026_microsoft_Scope 2_33,,13,2025-Microsoft-Environmental-Sustainability-Report-PDF.pdf,,,
energy_00034,r027_cardinalhealth,,,CARDINAL HEALTH,Scope 1,Fuel or site energy consumption,,,,,,,,r027_cardinalhealth_Scope 1_34,,80,cardinal-health-fy24-ESG-report.pdf,,,
energy_00035,r029_chevron,,,CHEVRON,Scope 1,Fuel or site energy consumption,,,,,,,,r029_chevron_Scope 1_35,,10,chevron-sustainability-highlights-2024.pdf,,,
energy_00036,r029_chevron,,,CHEVRON,Scope 1,Fuel or site energy consumption,,,,,,,,r029_chevron_Scope 1_36,,14,chevron-sustainability-highlights-2024.pdf,,,
energy_00037,r029_chevron,,,CHEVRON,Scope 2,Purchased electricity,,,yes,,,,,r029_chevron_Scope 2_37,,12,chevron-sustainability-highlights-2024.pdf,,,
energy_00038,r029_chevron,,,CHEVRON,Scope 2,Purchased electricity,,,yes,,,,,r029_chevron_Scope 2_38,,16,chevron-sustainability-highlights-2024.pdf,,,
energy_00039,r029_chevron,,,CHEVRON,Scope 2,Purchased electricity,,,yes,,,,,r029_chevron_Scope 2_39,,12,chevron-sustainability-highlights-2024.pdf,,,
energy_00040,r029_chevron,,,CHEVRON,Scope 2,Purchased electricity,,,yes,,,,,r029_chevron_Scope 2_40,,16,chevron-sustainability-highlights-2024.pdf,,,
energy_00041,r036_fordmotor,,,FORD MOTOR,Scope 2,Purchased electricity,,,yes,,,,,r036_fordmotor_Scope 2_41,,235,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,,,
energy_00042,r036_fordmotor,,,FORD MOTOR,Scope 1,Fuel or site energy consumption,,,,,,,,r036_fordmotor_Scope 1_42,,237,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,,,
energy_00043,r036_fordmotor,,,FORD MOTOR,Scope 1,Fuel or site energy consumption,,,,,,,,r036_fordmotor_Scope 1_43,,192,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,,,
energy_00044,r038_bankofamerica,,,BANK OF AMERICA,Scope 1,Fuel or site energy consumption,,,,,,,,r038_bankofamerica_Scope 1_44,,116,BankOfAmerica_Sustainability_2024_Report.pdf,,,
energy_00045,r038_bankofamerica,,,BANK OF AMERICA,Scope 2,Purchased electricity,,,yes,,,,,r038_bankofamerica_Scope 2_45,,81,BankOfAmerica_Sustainability_2024_Report.pdf,,,
energy_00046,r038_bankofamerica,,,BANK OF AMERICA,Scope 2,Purchased electricity,,,yes,,,,,r038_bankofamerica_Scope 2_46,,116,BankOfAmerica_Sustainability_2024_Report.pdf,,,
energy_00047,r042_mercedesbenzgroup,,,MERCEDES-BENZ GROUP,Scope 1,Fuel or site energy consumption,,,,,,,,r042_mercedesbenzgroup_Scope 1_47,,4,mercedes-benz-ir-sustainability-targets-and-metrics-summary-2024.pdf,,,
energy_00048,r042_mercedesbenzgroup,,,MERCEDES-BENZ GROUP,Scope 2,Purchased electricity,,,yes,,,,,r042_mercedesbenzgroup_Scope 2_48,,12,mercedes-benz-ir-sustainability-targets-and-metrics-summary-2024.pdf,,,
energy_00049,r046_centene公司,,,Centene,Scope 1,Fuel or site energy consumption,,,,,,,,r046_centene公司_Scope 1_49,,73,Centene-Corporate-Responsibility-2024.pdf,,,
energy_00050,r048_homedepot,,,HOME DEPOT,Scope 1,Fuel or site energy consumption,,,,,,,,r048_homedepot_Scope 1_50,,45,2024_ESG_Report_The_Home_Depot.pdf,,,
energy_00051,r048_homedepot,,,HOME DEPOT,Scope 2,Purchased electricity,,,yes,,,,,r048_homedepot_Scope 2_51,,45,2024_ESG_Report_The_Home_Depot.pdf,,,
energy_00052,r049_electricitédefrance,,,ELECTRICITÉ DE FRANCE,Scope 1,Fuel or site energy consumption,,,,,,,,r049_electricitédefrance_Scope 1_52,,204,edf-urd-annual-financial-report-2024-en-accessible.pdf,,,
energy_00053,r049_electricitédefrance,,,ELECTRICITÉ DE FRANCE,Scope 2,Purchased electricity,,,yes,,,,,r049_electricitédefrance_Scope 2_53,,204,edf-urd-annual-financial-report-2024-en-accessible.pdf,,,
energy_00054,r052_phillips66公司,,,Phillips 66,Scope 1,Fuel or site energy consumption,,,,,,,,r052_phillips66公司_Scope 1_54,,48,PHILLIPS 66-2025-0023_3_Sustainability and People Report_DIGITAL 0623.pdf,,,
energy_00055,r052_phillips66公司,,,Phillips 66,Scope 2,Purchased electricity,,,yes,,,,,r052_phillips66公司_Scope 2_55,,48,PHILLIPS 66-2025-0023_3_Sustainability and People Report_DIGITAL 0623.pdf,,,
energy_00056,r061_valeroenergy,,,VALERO ENERGY,Scope 1,Fuel or site energy consumption,,,,,,,,r061_valeroenergy_Scope 1_56,,76,VALERO ENERGY-2024 ESG Report 0823 FINAL pages.pdf,,,
