queue_id,company_id,world500_rank,company_name_en,report_id,inventory_year,financial_subsector,cat15_disclosure_status,pcaf_standard_mentioned,financed_or_facilitated_or_insured,asset_class,portfolio_segment,absolute_emissions_mtco2e,intensity_value,intensity_unit,attribution_factor,exposure_amount,evic_or_enterprise_value,pcaf_data_quality_score,coverage_percent,scope_included,evidence_page,source_file,review_decision,reviewer_note,confidence_level
pcaf_cat15_00116,r072_chinaresources,72,CHINA RESOURCES,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00117,r072_chinaresources,72,CHINA RESOURCES,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00118,r072_chinaresources,72,CHINA RESOURCES,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00119,r072_chinaresources,72,CHINA RESOURCES,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00120,r072_chinaresources,72,CHINA RESOURCES,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00121,r080_wellsfargo,80,WELLS FARGO,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00122,r080_wellsfargo,80,WELLS FARGO,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00123,r080_wellsfargo,80,WELLS FARGO,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00124,r080_wellsfargo,80,WELLS FARGO,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00125,r080_wellsfargo,80,WELLS FARGO,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00126,r080_wellsfargo,80,WELLS FARGO,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00127,r082_allianz,82,ALLIANZ,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00128,r082_allianz,82,ALLIANZ,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00129,r082_allianz,82,ALLIANZ,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00130,r082_allianz,82,ALLIANZ,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00131,r082_allianz,82,ALLIANZ,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00132,r082_allianz,82,ALLIANZ,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00133,r087_goldmansachsgroup,87,GOLDMAN SACHS GROUP,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00134,r087_goldmansachsgroup,87,GOLDMAN SACHS GROUP,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00135,r087_goldmansachsgroup,87,GOLDMAN SACHS GROUP,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00136,r087_goldmansachsgroup,87,GOLDMAN SACHS GROUP,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00137,r087_goldmansachsgroup,87,GOLDMAN SACHS GROUP,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00138,r087_goldmansachsgroup,87,GOLDMAN SACHS GROUP,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00139,r088_freddiemac,88,FREDDIE MAC,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00140,r088_freddiemac,88,FREDDIE MAC,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00141,r088_freddiemac,88,FREDDIE MAC,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00142,r088_freddiemac,88,FREDDIE MAC,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00143,r088_freddiemac,88,FREDDIE MAC,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
