queue_id,priority_rank,company_id,world500_rank,company_name_en,company_name_zh,industry_section_code,report_id,report_title,inventory_year,scope3_category_code,scope3_category_en,current_screening_status,current_reported_value_mtco2e,current_evidence_page,missing_or_conflict_type,relevance_basis_en,quantitative_share_percent,source_layer,source_file,review_decision,corrected_value_mtco2e,corrected_status,corrected_evidence_page,reviewer_note,confidence_level
scope3_screen_00110,110,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,,,,5,Category 5 Waste generated in operations,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00111,111,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,,,,6,Category 6 Business travel,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00112,112,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,,,,7,Category 7 Employee commuting,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00113,113,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,,,,8,Category 8 Upstream leased assets,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00114,114,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,,,,9,Category 9 Downstream transportation and distribution,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00115,115,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,,,,10,Category 10 Processing of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00116,116,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,,,,11,Category 11 Use of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00117,117,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,,,,12,Category 12 End-of-life treatment of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00118,118,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,,,,13,Category 13 Downstream leased assets,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00119,119,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,,,,14,Category 14 Franchises,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00120,120,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,,,,15,Category 15 Investments,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00121,121,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,,,,1,Category 1 Purchased goods and services,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00122,122,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,,,,2,Category 2 Capital goods,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00123,123,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,,,,3,Category 3 Fuel- and energy-related activities,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00124,124,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,,,,4,Category 4 Upstream transportation and distribution,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00125,125,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,,,,5,Category 5 Waste generated in operations,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00126,126,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,,,,6,Category 6 Business travel,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00127,127,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,,,,7,Category 7 Employee commuting,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00128,128,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,,,,8,Category 8 Upstream leased assets,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00129,129,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,,,,9,Category 9 Downstream transportation and distribution,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00130,130,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,,,,10,Category 10 Processing of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00131,131,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,,,,11,Category 11 Use of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00132,132,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,,,,12,Category 12 End-of-life treatment of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00133,133,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,,,,13,Category 13 Downstream leased assets,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00134,134,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,,,,14,Category 14 Franchises,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00135,135,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,,,,15,Category 15 Investments,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00136,136,r010_cvshealth公司,10,CVS Health,CVS Health,F,,,,1,Category 1 Purchased goods and services,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00137,137,r010_cvshealth公司,10,CVS Health,CVS Health,F,,,,2,Category 2 Capital goods,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
