queue_id,company_id,report_id,emission_anchor_id,scope_en,scope3_category_code,activity_category_en,calculation_method_en,region_en,fuel_or_grid_en,gas,value_mtco2e,factor_needed_type,candidate_factor_id,factor_source_en,factor_class_en,factor_unit,factor_gwp_basis,factor_publication_year,unit_conversion_needed,edge_status,evidence_page,source_file,review_decision,reviewer_note
factor_edge_00299,r268_bhpgroup,,r268_bhpgroup_Scope 2__299,Scope 2,,,Location-Based,,,,3.1,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,51,250819_bhpannualreport2025.pdf,,
factor_edge_00300,r269_hp,,r269_hp__1_300,,1,,,,,,12.115,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,160,2024_HP_sustainability_report.pdf,,
factor_edge_00301,r269_hp,,r269_hp__2_301,,2,,,,,,0.054,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,160,2024_HP_sustainability_report.pdf,,
factor_edge_00302,r269_hp,,r269_hp__3_302,,3,,,,,,0.049999999999999996,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,160,2024_HP_sustainability_report.pdf,,
factor_edge_00303,r269_hp,,r269_hp__6_303,,6,,,,,,0.041999999999999996,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,160,2024_HP_sustainability_report.pdf,,
factor_edge_00304,r269_hp,,r269_hp__7_304,,7,,,,,,0.108,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,160,2024_HP_sustainability_report.pdf,,
factor_edge_00305,r269_hp,,r269_hp_Scope 1__305,Scope 1,,,,,,,0.0484,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,160,2024_HP_sustainability_report.pdf,,
factor_edge_00306,r270_unitedairlinesholdings,,r270_unitedairlinesholdings__7_306,,7,,,,,,0.12317099999999999,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,101,2024-UNITED AIRLINES HOLDINGS-report-interactive.pdf,,
factor_edge_00307,r270_unitedairlinesholdings,,r270_unitedairlinesholdings_Scope 1__307,Scope 1,,,,,,,38.520027,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,100,2024-UNITED AIRLINES HOLDINGS-report-interactive.pdf,,
factor_edge_00308,r270_unitedairlinesholdings,,r270_unitedairlinesholdings_Scope 3__308,Scope 3,,,,,,,13.585206999999999,emission_record_factor,,,,,,,review,missing_applies_emission_factor,101,2024-UNITED AIRLINES HOLDINGS-report-interactive.pdf,,
factor_edge_00309,r271_tatamotors,,r271_tatamotors_Scope 1__309,Scope 1,,,,,,,0.070746,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,16,tata-motor-IAR-2024-25.pdf,,
factor_edge_00310,r271_tatamotors,,r271_tatamotors_Scope 2__310,Scope 2,,,,,,,0.01565,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,584,tata-motor-IAR-2024-25.pdf,,
factor_edge_00311,r271_tatamotors,,r271_tatamotors_Scope 3__311,Scope 3,,,,,,,25.9,emission_record_factor,,,,,,,review,missing_applies_emission_factor,134,tata-motor-IAR-2024-25.pdf,,
factor_edge_00312,r278_americanairlinesgroup,,r278_americanairlinesgroup_Scope 1__312,Scope 1,,,,,,,39.604835,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,92,American-Airlines-Sustainability-Report-2024.pdf,,
factor_edge_00313,r278_americanairlinesgroup,,r278_americanairlinesgroup_Scope 2__313,Scope 2,,,Market-Based,,,,0.17718399999999998,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,92,American-Airlines-Sustainability-Report-2024.pdf,,
factor_edge_00314,r278_americanairlinesgroup,,r278_americanairlinesgroup_Scope 3__314,Scope 3,,,,,,,0.015125,emission_record_factor,,,,,,,review,missing_applies_emission_factor,81,American-Airlines-Sustainability-Report-2024.pdf,,
factor_edge_00315,r282_volvo,,r282_volvo_Scope 1__315,Scope 1,,,,,,,2e-06,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,157,volvo-group-annual-report-2024.pdf,,
factor_edge_00316,r283_intesasanpaolo,,r283_intesasanpaolo_Scope 1__316,Scope 1,,,,,,,0.016656,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,99,2024_INTESA SANPAOLO-Climate_Report.pdf,,
factor_edge_00317,r283_intesasanpaolo,,r283_intesasanpaolo_Scope 2__317,Scope 2,,,Location-Based,,,,0.0034869999999999996,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,103,2024_INTESA SANPAOLO-Climate_Report.pdf,,
factor_edge_00318,r283_intesasanpaolo,,r283_intesasanpaolo_Scope 2__318,Scope 2,,,Market-Based,,,,7e-07,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,99,2024_INTESA SANPAOLO-Climate_Report.pdf,,
factor_edge_00319,r287_tokiomarineholdings,,r287_tokiomarineholdings_Scope 1__319,Scope 1,,,,,,,0.012516999999999999,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,42,TOKIO MARINE HOLDINGS sustainability_web_2025.pdf,,
factor_edge_00320,r287_tokiomarineholdings,,r287_tokiomarineholdings_Scope 2__320,Scope 2,,,,,,,0.012516999999999999,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,42,TOKIO MARINE HOLDINGS sustainability_web_2025.pdf,,
factor_edge_00321,r287_tokiomarineholdings,,r287_tokiomarineholdings_Scope 3__321,Scope 3,,,,,,,0.012516999999999999,emission_record_factor,,,,,,,review,missing_applies_emission_factor,42,TOKIO MARINE HOLDINGS sustainability_web_2025.pdf,,
factor_edge_00322,r289_maerskgroup,,r289_maerskgroup_Scope 1__322,Scope 1,,,,,,,0.0020239999999999998,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,93,Maersk Annual Report 2024.pdf,,
factor_edge_00323,r289_maerskgroup,,r289_maerskgroup_Scope 2__323,Scope 2,,,,,,,0.001,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,89,Maersk Annual Report 2024.pdf,,
factor_edge_00324,r292_shanghaipudongdevelopmentbank,,r292_shanghaipudongdevelopmentbank_Scope 1__324,Scope 1,,,,,,,16.47,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,99,,,
factor_edge_00325,r292_shanghaipudongdevelopmentbank,,r292_shanghaipudongdevelopmentbank_Scope 2__325,Scope 2,,,,,,,4.2999999999999995e-06,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,18,,,
factor_edge_00326,r292_shanghaipudongdevelopmentbank,,r292_shanghaipudongdevelopmentbank_Scope 3__326,Scope 3,,,,,,,0.53,emission_record_factor,,,,,,,review,missing_applies_emission_factor,99,,,
factor_edge_00327,r294_bankofmontreal,,r294_bankofmontreal__1_327,,1,,,,,,1e-06,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,78,BMO_2024_SCR_EN_interactive.pdf,,
factor_edge_00328,r294_bankofmontreal,,r294_bankofmontreal_Scope 2__328,Scope 2,,,Location-Based,,,,1.05287,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,79,BMO_2024_SCR_EN_interactive.pdf,,
factor_edge_00329,r294_bankofmontreal,,r294_bankofmontreal_Scope 3__329,Scope 3,,,,,,,5.393,emission_record_factor,,,,,,,review,missing_applies_emission_factor,84,BMO_2024_SCR_EN_interactive.pdf,,
factor_edge_00330,r295_zffriedrichshafen,,r295_zffriedrichshafen_Scope 3__330,Scope 3,,,,,,,1e-06,emission_record_factor,,,,,,,review,missing_applies_emission_factor,68,ZF_AnnualReport24.pdf,,
factor_edge_00331,r295_zffriedrichshafen,,r295_zffriedrichshafen_Scope 1__331,Scope 1,,,,,,,1e-06,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,68,ZF_AnnualReport24.pdf,,
factor_edge_00332,r297_sanofi,,r297_sanofi_Scope 1__332,Scope 1,,,,,,,0.053092,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,41,SANOFI-sustainability-statement-2024--ESG-Report-.pdf,,
factor_edge_00333,r297_sanofi,,r297_sanofi_Scope 2__333,Scope 2,,,Location-Based,,,,0.318252,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,38,SANOFI-sustainability-statement-2024--ESG-Report-.pdf,,
factor_edge_00334,r297_sanofi,,r297_sanofi_Scope 2__334,Scope 2,,,Market-Based,,,,0.075864,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,38,SANOFI-sustainability-statement-2024--ESG-Report-.pdf,,
factor_edge_00335,r297_sanofi,,r297_sanofi_Scope 3__335,Scope 3,,,,,,,3.8226269999999998,emission_record_factor,,,,,,,review,missing_applies_emission_factor,38,SANOFI-sustainability-statement-2024--ESG-Report-.pdf,,
