decision_id,company_id,company_name_en,company_name_zh,world500_rank,decision_status,missing_scopes,repair_queue_files
EMISSIONS-PARTIAL-EXCLUDE-0057,r206_chinavanke,CHINA VANKE,万科企业股份有限公司,206,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0058,r095_lifeinsurancecorpofindia,LIFE INSURANCE CORP. OF INDIA,印度人寿保险公司,95,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0059,r317_tokyoelectricpower,TOKYO ELECTRIC POWER,东京电力公司,317,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0060,r263_novartis,NOVARTIS,诺华公司,263,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 3,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0061,r289_maerskgroup,MAERSK GROUP,马士基集团,289,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2 method | Scope 3 | Evidence Scope 2 scope2_method,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0062,r301_swissre,SWISS RE,瑞士再保险股份有限公司,301,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0063,r374_lufthansagroup,LUFTHANSA GROUP,汉莎集团,374,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0064,r376_abbottlaboratories,ABBOTT LABORATORIES,雅培公司,376,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0065,r198_wilmarinternational,WILMAR INTERNATIONAL,丰益国际,198,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0066,r163_sysco,SYSCO,西斯科公司,163,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0067,r130_engie集团,Engie,Engie,130,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0068,r450_sap公司,SAP,SAP,450,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
