evidence_page,relation,source,target
,has_standard_role,standard_ref::batch_02__r050_marathonpetroleum__20240__sustainabilityreport__ghg_protocol,standard_role::Accounting standard
47,documents_standard_reference,report::r052_phillips66公司__20250__sustainabilityreport,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__gri
,references_standard,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__gri,standard_role::Disclosure standard
47,documents_standard_reference,report::r052_phillips66公司__20250__sustainabilityreport,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__sasb
,references_standard,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__sasb,standard_role::Disclosure guideline
47,documents_standard_reference,report::r052_phillips66公司__20250__sustainabilityreport,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__ifrs_s2
,references_standard,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__ifrs_s2,standard::IFRS S2
,belongs_to_standard_family,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__ifrs_s2,standard_family::Climate disclosure standard
,has_standard_role,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__ifrs_s2,standard_role::Disclosure standard
51,documents_standard_reference,report::r052_phillips66公司__20250__sustainabilityreport,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__ghg_protocol
,references_standard,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__ghg_protocol,standard::GHG Protocol
,belongs_to_standard_family,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__ghg_protocol,standard_family::GHG accounting system
,has_standard_role,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__ghg_protocol,standard_role::Accounting standard
53,documents_standard_reference,report::r052_phillips66公司__20250__sustainabilityreport,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__tcfd
,references_standard,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__tcfd,standard::TCFD
,belongs_to_standard_family,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__tcfd,standard_family::Climate disclosure framework
,has_standard_role,standard_ref::batch_02__r052_phillips66公司__20250__sustainabilityreport__tcfd,standard_role::Disclosure recommendation
25,documents_standard_reference,report::r054_sinochemholdings__20240__other,standard_ref::batch_02__r054_sinochemholdings__20240__other__gri
,references_standard,standard_ref::batch_02__r054_sinochemholdings__20240__other__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_02__r054_sinochemholdings__20240__other__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_02__r054_sinochemholdings__20240__other__gri,standard_role::Disclosure standard
29,documents_standard_reference,report::r054_sinochemholdings__20240__other,standard_ref::batch_02__r054_sinochemholdings__20240__other__iso_14067
,references_standard,standard_ref::batch_02__r054_sinochemholdings__20240__other__iso_14067,standard::ISO 14067
,belongs_to_standard_family,standard_ref::batch_02__r054_sinochemholdings__20240__other__iso_14067,standard_family::ISO product carbon standard
,has_standard_role,standard_ref::batch_02__r054_sinochemholdings__20240__other__iso_14067,standard_role::Methodology standard
29,documents_standard_reference,report::r054_sinochemholdings__20240__other,standard_ref::batch_02__r054_sinochemholdings__20240__other__iso_14040_14044
,references_standard,standard_ref::batch_02__r054_sinochemholdings__20240__other__iso_14040_14044,standard::ISO 14040/14044
,belongs_to_standard_family,standard_ref::batch_02__r054_sinochemholdings__20240__other__iso_14040_14044,standard_family::ISO life-cycle assessment system
,has_standard_role,standard_ref::batch_02__r054_sinochemholdings__20240__other__iso_14040_14044,standard_role::Methodology standard
2,documents_standard_reference,report::r055_chinamobilecommunications__20240__sustainabilityreport,standard_ref::batch_02__r055_chinamobilecommunications__20240__sustainabilityreport__gri
,references_standard,standard_ref::batch_02__r055_chinamobilecommunications__20240__sustainabilityreport__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_02__r055_chinamobilecommunications__20240__sustainabilityreport__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_02__r055_chinamobilecommunications__20240__sustainabilityreport__gri,standard_role::Disclosure standard
2,documents_standard_reference,report::r055_chinamobilecommunications__20240__sustainabilityreport,standard_ref::batch_02__r055_chinamobilecommunications__20240__sustainabilityreport__ifrs_s2
,references_standard,standard_ref::batch_02__r055_chinamobilecommunications__20240__sustainabilityreport__ifrs_s2,standard::IFRS S2
,belongs_to_standard_family,standard_ref::batch_02__r055_chinamobilecommunications__20240__sustainabilityreport__ifrs_s2,standard_family::Climate disclosure standard
,has_standard_role,standard_ref::batch_02__r055_chinamobilecommunications__20240__sustainabilityreport__ifrs_s2,standard_role::Disclosure standard
68,documents_standard_reference,report::r060_walgreensbootsalliance__20240__impactreport,standard_ref::batch_02__r060_walgreensbootsalliance__20240__impactreport__ghg_protocol
,references_standard,standard_ref::batch_02__r060_walgreensbootsalliance__20240__impactreport__ghg_protocol,standard::GHG Protocol
,belongs_to_standard_family,standard_ref::batch_02__r060_walgreensbootsalliance__20240__impactreport__ghg_protocol,standard_family::GHG accounting system
,has_standard_role,standard_ref::batch_02__r060_walgreensbootsalliance__20240__impactreport__ghg_protocol,standard_role::Accounting standard
80,documents_standard_reference,report::r060_walgreensbootsalliance__20240__impactreport,standard_ref::batch_02__r060_walgreensbootsalliance__20240__impactreport__gri
,references_standard,standard_ref::batch_02__r060_walgreensbootsalliance__20240__impactreport__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_02__r060_walgreensbootsalliance__20240__impactreport__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_02__r060_walgreensbootsalliance__20240__impactreport__gri,standard_role::Disclosure standard
80,documents_standard_reference,report::r060_walgreensbootsalliance__20240__impactreport,standard_ref::batch_02__r060_walgreensbootsalliance__20240__impactreport__sasb
,references_standard,standard_ref::batch_02__r060_walgreensbootsalliance__20240__impactreport__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_02__r060_walgreensbootsalliance__20240__impactreport__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_02__r060_walgreensbootsalliance__20240__impactreport__sasb,standard_role::Disclosure guideline
2,documents_standard_reference,report::r061_valeroenergy__20240__esgreport,standard_ref::batch_02__r061_valeroenergy__20240__esgreport__sasb
,references_standard,standard_ref::batch_02__r061_valeroenergy__20240__esgreport__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_02__r061_valeroenergy__20240__esgreport__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_02__r061_valeroenergy__20240__esgreport__sasb,standard_role::Disclosure guideline
7,documents_standard_reference,report::r061_valeroenergy__20240__esgreport,standard_ref::batch_02__r061_valeroenergy__20240__esgreport__tcfd
,references_standard,standard_ref::batch_02__r061_valeroenergy__20240__esgreport__tcfd,standard::TCFD
