activity_category_en,assurance_stage_en,calculation_method_en,company_id,company_name_en,company_name_zh,data_source_type_en,evidence_page,gbt4754_section_code,gbt4754_section_name_en,gbt4754_section_name_zh,label,match_status,node_id,node_type,page_count,report_id,review_status,scope_en,source_file,standard_name_en,world500_rank,batch_id
,,,,,,,62,,,,batch_01__r011_volkswagen__20230__sustainabilityreport__ghg_protocol,,standard_ref::batch_01__r011_volkswagen__20230__sustainabilityreport__ghg_protocol,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,12,,,,batch_01__r012_exxonmobil__20250__sustainabilityreport__sasb,,standard_ref::batch_01__r012_exxonmobil__20250__sustainabilityreport__sasb,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,19,,,,batch_01__r012_exxonmobil__20250__sustainabilityreport__gri,,standard_ref::batch_01__r012_exxonmobil__20250__sustainabilityreport__gri,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,72,,,,batch_01__r012_exxonmobil__20250__sustainabilityreport__ghg_protocol,,standard_ref::batch_01__r012_exxonmobil__20250__sustainabilityreport__ghg_protocol,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,2,,,,batch_01__r013_shell__20240__annualreport__esrs_csrd,,standard_ref::batch_01__r013_shell__20240__annualreport__esrs_csrd,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,3,,,,batch_01__r013_shell__20240__annualreport__tcfd,,standard_ref::batch_01__r013_shell__20240__annualreport__tcfd,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,99,,,,batch_01__r013_shell__20240__annualreport__ghg_protocol,,standard_ref::batch_01__r013_shell__20240__annualreport__ghg_protocol,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,103,,,,batch_01__r013_shell__20240__annualreport__iso_14064,,standard_ref::batch_01__r013_shell__20240__annualreport__iso_14064,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,356,,,,batch_01__r013_shell__20240__annualreport__gri,,standard_ref::batch_01__r013_shell__20240__annualreport__gri,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,3,,,,batch_01__r014_chinastateconstructionengineering__20240__other__gri,,standard_ref::batch_01__r014_chinastateconstructionengineering__20240__other__gri,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,2,,,,batch_01__r015_toyotamotor__20240__integratedreport__tcfd,,standard_ref::batch_01__r015_toyotamotor__20240__integratedreport__tcfd,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,51,,,,batch_01__r015_toyotamotor__20240__integratedreport__sbti,,standard_ref::batch_01__r015_toyotamotor__20240__integratedreport__sbti,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,3,,,,batch_01__r016_mckesson__20240__impactreport__gri,,standard_ref::batch_01__r016_mckesson__20240__impactreport__gri,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,3,,,,batch_01__r016_mckesson__20240__impactreport__sasb,,standard_ref::batch_01__r016_mckesson__20240__impactreport__sasb,StandardReference,,,seed_batch_01,,,,,batch_01
