confidence_level,evidence_page,relation,review_status,section_role,source,target,batch_id
,,belongs_to_standard_family,,,standard_ref::batch_01_r001_walmart_20250_esgreport_sasb,standard_family::industry_disclosure_framework,batch_01
,,has_standard_role,,,standard_ref::batch_01_r001_walmart_20250_esgreport_sasb,standard_role::disclosure_guideline,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r001_walmart_20250_esgreport_sasb,principle::financial_materiality,batch_01
medium,2,documents_standard_reference,seed_batch_01,,report::r004_saudiaramco__20240__sustainabilityreport,standard_ref::batch_01_r004_saudiaramco_20240_sustainabilityreport_ghg_protocol,batch_01
,,references_standard,,,standard_ref::batch_01_r004_saudiaramco_20240_sustainabilityreport_ghg_protocol,standard::ghg_protocol,batch_01
,,belongs_to_standard_family,,,standard_ref::batch_01_r004_saudiaramco_20240_sustainabilityreport_ghg_protocol,standard_family::ghg_accounting_system,batch_01
,,has_standard_role,,,standard_ref::batch_01_r004_saudiaramco_20240_sustainabilityreport_ghg_protocol,standard_role::accounting_standard,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r004_saudiaramco_20240_sustainabilityreport_ghg_protocol,principle::relevance,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r004_saudiaramco_20240_sustainabilityreport_ghg_protocol,principle::completeness,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r004_saudiaramco_20240_sustainabilityreport_ghg_protocol,principle::consistency,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r004_saudiaramco_20240_sustainabilityreport_ghg_protocol,principle::transparency,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r004_saudiaramco_20240_sustainabilityreport_ghg_protocol,principle::accuracy,batch_01
medium,23,documents_standard_reference,seed_batch_01,,report::r004_saudiaramco__20240__sustainabilityreport,standard_ref::batch_01_r004_saudiaramco_20240_sustainabilityreport_iso_14067,batch_01
,,references_standard,,,standard_ref::batch_01_r004_saudiaramco_20240_sustainabilityreport_iso_14067,standard::iso_14067,batch_01
,,belongs_to_standard_family,,,standard_ref::batch_01_r004_saudiaramco_20240_sustainabilityreport_iso_14067,standard_family::iso_product_carbon_standard,batch_01
,,has_standard_role,,,standard_ref::batch_01_r004_saudiaramco_20240_sustainabilityreport_iso_14067,standard_role::methodology_standard,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r004_saudiaramco_20240_sustainabilityreport_iso_14067,principle::life_cycle_perspective,batch_01
medium,100,documents_standard_reference,seed_batch_01,,report::r007_apple__20250__other,standard_ref::batch_01_r007_apple_20250_other_ghg_protocol,batch_01
,,references_standard,,,standard_ref::batch_01_r007_apple_20250_other_ghg_protocol,standard::ghg_protocol,batch_01
,,belongs_to_standard_family,,,standard_ref::batch_01_r007_apple_20250_other_ghg_protocol,standard_family::ghg_accounting_system,batch_01
,,has_standard_role,,,standard_ref::batch_01_r007_apple_20250_other_ghg_protocol,standard_role::accounting_standard,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r007_apple_20250_other_ghg_protocol,principle::relevance,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r007_apple_20250_other_ghg_protocol,principle::completeness,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r007_apple_20250_other_ghg_protocol,principle::consistency,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r007_apple_20250_other_ghg_protocol,principle::transparency,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r007_apple_20250_other_ghg_protocol,principle::accuracy,batch_01
medium,108,documents_standard_reference,seed_batch_01,,report::r007_apple__20250__other,standard_ref::batch_01_r007_apple_20250_other_iso_14064_3,batch_01
,,references_standard,,,standard_ref::batch_01_r007_apple_20250_other_iso_14064_3,standard::iso_14064_3,batch_01
,,belongs_to_standard_family,,,standard_ref::batch_01_r007_apple_20250_other_iso_14064_3,standard_family::iso_assurance_system,batch_01
,,has_standard_role,,,standard_ref::batch_01_r007_apple_20250_other_iso_14064_3,standard_role::verification_and_assurance_standard,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r007_apple_20250_other_iso_14064_3,principle::verifiability,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r007_apple_20250_other_iso_14064_3,principle::credibility,batch_01
medium,124,documents_standard_reference,seed_batch_01,,report::r007_apple__20250__other,standard_ref::batch_01_r007_apple_20250_other_esrs_csrd,batch_01
,,references_standard,,,standard_ref::batch_01_r007_apple_20250_other_esrs_csrd,standard::esrs_csrd,batch_01
,,belongs_to_standard_family,,,standard_ref::batch_01_r007_apple_20250_other_esrs_csrd,standard_family::eu_sustainability_disclosure_regime,batch_01
,,has_standard_role,,,standard_ref::batch_01_r007_apple_20250_other_esrs_csrd,standard_role::disclosure_standard,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r007_apple_20250_other_esrs_csrd,principle::comparability,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r007_apple_20250_other_esrs_csrd,principle::double_materiality,batch_01
medium,33,documents_standard_reference,seed_batch_01,,report::r008_unitedhealthgroup__20240__sustainabilityreport,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_ghg_protocol,batch_01
,,references_standard,,,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_ghg_protocol,standard::ghg_protocol,batch_01
,,belongs_to_standard_family,,,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_ghg_protocol,standard_family::ghg_accounting_system,batch_01
,,has_standard_role,,,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_ghg_protocol,standard_role::accounting_standard,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_ghg_protocol,principle::relevance,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_ghg_protocol,principle::completeness,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_ghg_protocol,principle::consistency,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_ghg_protocol,principle::transparency,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_ghg_protocol,principle::accuracy,batch_01
medium,33,documents_standard_reference,seed_batch_01,,report::r008_unitedhealthgroup__20240__sustainabilityreport,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_sbti,batch_01
,,references_standard,,,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_sbti,standard::sbti,batch_01
,,belongs_to_standard_family,,,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_sbti,standard_family::climate_target_governance_system,batch_01
,,has_standard_role,,,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_sbti,standard_role::target_validation_guideline,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_sbti,principle::science_based_ambition,batch_01
medium,85,documents_standard_reference,seed_batch_01,,report::r008_unitedhealthgroup__20240__sustainabilityreport,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_sasb,batch_01
,,references_standard,,,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_sasb,standard::sasb,batch_01
,,belongs_to_standard_family,,,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_sasb,standard_family::industry_disclosure_framework,batch_01
,,has_standard_role,,,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_sasb,standard_role::disclosure_guideline,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r008_unitedhealthgroup_20240_sustainabilityreport_sasb,principle::financial_materiality,batch_01
medium,2,documents_standard_reference,seed_batch_01,,report::r010_cvshealth公司__20240__impactreport,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_gri,batch_01
,,references_standard,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_gri,standard::gri,batch_01
,,belongs_to_standard_family,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_gri,standard_family::esg_disclosure_framework,batch_01
,,has_standard_role,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_gri,standard_role::disclosure_standard,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_gri,principle::materiality,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_gri,principle::comparability,batch_01
medium,2,documents_standard_reference,seed_batch_01,,report::r010_cvshealth公司__20240__impactreport,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_sasb,batch_01
,,references_standard,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_sasb,standard::sasb,batch_01
,,belongs_to_standard_family,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_sasb,standard_family::industry_disclosure_framework,batch_01
,,has_standard_role,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_sasb,standard_role::disclosure_guideline,batch_01
,,has_accounting_principle,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_sasb,principle::financial_materiality,batch_01
medium,7,documents_standard_reference,seed_batch_01,,report::r010_cvshealth公司__20240__impactreport,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_sbti,batch_01
,,references_standard,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_sbti,standard::sbti,batch_01
,,belongs_to_standard_family,,,standard_ref::batch_01_r010_cvshealth公司_20240_impactreport_sbti,standard_family::climate_target_governance_system,batch_01
