activity_category_en,assurance_stage_en,calculation_method_en,company_id,company_name_en,company_name_zh,data_source_type_en,evidence_page,gbt4754_section_code,gbt4754_section_name_en,gbt4754_section_name_zh,label,match_status,node_id,node_type,page_count,report_id,review_status,scope_en,source_file,standard_name_en,world500_rank
,,,,,,,2,,,,batch_11__r069_chinaminmetals__nan__other__gri,,standard_ref::batch_11__r069_chinaminmetals__nan__other__gri,StandardReference,,,seed_batch_11,,,,
,,,,,,,47,,,,batch_11__r078_chinasouthernpowergrid__nan__other__gri,,standard_ref::batch_11__r078_chinasouthernpowergrid__nan__other__gri,StandardReference,,,seed_batch_11,,,,
,,,,,,,86,,,,batch_11__r114_royalaholddelhaize__20240__annualreport__esrs_csrd,,standard_ref::batch_11__r114_royalaholddelhaize__20240__annualreport__esrs_csrd,StandardReference,,,seed_batch_11,,,,
,,,,,,,87,,,,batch_11__r114_royalaholddelhaize__20240__annualreport__gri,,standard_ref::batch_11__r114_royalaholddelhaize__20240__annualreport__gri,StandardReference,,,seed_batch_11,,,,
,,,,,,,103,,,,batch_11__r114_royalaholddelhaize__20240__annualreport__sbti,,standard_ref::batch_11__r114_royalaholddelhaize__20240__annualreport__sbti,StandardReference,,,seed_batch_11,,,,
,,,,,,,117,,,,batch_11__r114_royalaholddelhaize__20240__annualreport__ghg_protocol,,standard_ref::batch_11__r114_royalaholddelhaize__20240__annualreport__ghg_protocol,StandardReference,,,seed_batch_11,,,,
,,,,,,,15,,,,batch_11__r149_procterandgamble__20240__annualreport__gri,,standard_ref::batch_11__r149_procterandgamble__20240__annualreport__gri,StandardReference,,,seed_batch_11,,,,
,,,,,,,15,,,,batch_11__r149_procterandgamble__20240__annualreport__tcfd,,standard_ref::batch_11__r149_procterandgamble__20240__annualreport__tcfd,StandardReference,,,seed_batch_11,,,,
,,,,,,,47,,,,batch_11__r181_guangzhouautomobileindustrygroup__20240__other__gri,,standard_ref::batch_11__r181_guangzhouautomobileindustrygroup__20240__other__gri,StandardReference,,,seed_batch_11,,,,
,,,,,,,,,,,IFRS S2,,standard::IFRS S2,Standard,,,,,,IFRS S2,
,,,,,,,92,,,,batch_11__r181_guangzhouautomobileindustrygroup__20240__other__ifrs_s2,,standard_ref::batch_11__r181_guangzhouautomobileindustrygroup__20240__other__ifrs_s2,StandardReference,,,seed_batch_11,,,,
,,,,,,,,,,,气候披露标准,,standard_family::Climate disclosure standard,StandardFamily,,,,,,,
,,,,,,,2,,,,batch_11__r201_koreaelectricpower__20240__sustainabilityreport__gri,,standard_ref::batch_11__r201_koreaelectricpower__20240__sustainabilityreport__gri,StandardReference,,,seed_batch_11,,,,
,,,,,,,2,,,,batch_11__r201_koreaelectricpower__20240__sustainabilityreport__sasb,,standard_ref::batch_11__r201_koreaelectricpower__20240__sustainabilityreport__sasb,StandardReference,,,seed_batch_11,,,,
,,,,,,,28,,,,batch_11__r201_koreaelectricpower__20240__sustainabilityreport__esrs_csrd,,standard_ref::batch_11__r201_koreaelectricpower__20240__sustainabilityreport__esrs_csrd,StandardReference,,,seed_batch_11,,,,
,,,,,,,180,,,,batch_11__r201_koreaelectricpower__20240__sustainabilityreport__ifrs_s2,,standard_ref::batch_11__r201_koreaelectricpower__20240__sustainabilityreport__ifrs_s2,StandardReference,,,seed_batch_11,,,,
,,,,,,,2,,,,batch_11__r220_nipponsteelcorporation__20230__sustainabilityreport__gri,,standard_ref::batch_11__r220_nipponsteelcorporation__20230__sustainabilityreport__gri,StandardReference,,,seed_batch_11,,,,
,,,,,,,2,,,,batch_11__r220_nipponsteelcorporation__20230__sustainabilityreport__tcfd,,standard_ref::batch_11__r220_nipponsteelcorporation__20230__sustainabilityreport__tcfd,StandardReference,,,seed_batch_11,,,,
,,,,,,,3,,,,batch_11__r250_contemporaryamperextechnology__20240__other__gri,,standard_ref::batch_11__r250_contemporaryamperextechnology__20240__other__gri,StandardReference,,,seed_batch_11,,,,
